Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.35,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.35,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.35,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.35,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.35,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.35,Mercado de Santa Ana,,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,"Multiservicios Victoria, librería, copias y más",7a. Calle Oriente entre 1a y 3a Avenida Sur Barrio Santa Cruz,Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.46,Negocios de Oriente S.A de C.V,"4a. Calle Poniente, N° 705, Barrio San Felipe",San Miguel,San Miguel,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.35,Papeleria y libreria Latinoamerica,"7a. Etapa, local. N. 221-P",San Salvador,San Salvador,5/1/2018
Cuadernos Engrapados,Cuadriculado de 5 mm (50/100),Sin Marca,1,Unidades,$0.40,Utilesa Nº 2,"2a Calle Poniente No 206, San Miguel",San Miguel,San Miguel,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.50,Almacen y Librería SOLO,"Calle Rubén Darío #418, San Salvador",San Salvador,San Salvador,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.55,"Bazar La Costura, Casa Matriz","2a Calle Oriente No 4, Chalchuapa",Santa Ana,Chalchuapa,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.55,Despenfa Familiar San Miguel Catedral,"4ta Avenida Norte y Calle Sirama, Barrio El Centro.",San Miguel,San Miguel,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.45,Despensa de Don Juan San Miguel Centro,5a. Avenida norte y avenida Monsenor Romero No.207,San Miguel,San Miguel,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.50,Dollarcity Sucursal San Miguel,4a calle poniente #212,San Miguel,San Miguel,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.55,Eunice´s Librería y Papelería ,"Calle Libertad poniente entre 4a y 6a av. Norte N°10
",Santa Ana,Santa Ana,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.57,Farmacia y Librería San Rey N° 11,"Segunda Calle Poniente y Quinta Avenida Norte, San Miguel ",San Miguel,San Miguel,5/1/2018
Cuadernos Engrapados,Cuadriculado de 8 mm (100/200),Sin Marca,1,Unidades,$0.65,"Farmacia y Librería San Rey N° 23				","4a. Calle Poniente, local No 207, San Miguel",San Miguel,San Miguel,5/1/2018
