Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.12,"Librería Cervantes, Avenida Masferrer","Avenida Masferrer Norte, Edificio Barcelona, Local 2 San Salvador",San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,"Librería de Papel, 4a Avenida Norte",4a Avenida Norte N° 116,San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,"Librería EDUCA, Soyapango","2a Av. Sur N° 1, Soyapango",San Salvador,Soyapango,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.10,Librería El Angel Ahuachapán,"Avenida Francisco Menéndez Norte,Ahuachapán",Ahuachapan,Ahuachapan,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.12,"Librería El Castillo Musical, Sucursal","4a Avenida Norte, Edificio Presidente N° 118, local 1",San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.12,Librería Escolar 1a Calle Oriente,1a Calle Oriente N° 115-A,San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.13,Librería Escolar 4a Avenida Norte,4a Avenida Norte N° 237,San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,"Librería Española, Av. España","Av. España Edificio Kauders N° 117, Local 3, San Salvador.",San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.12,"Librería Española, Unicentro",Centro Comercial Unicentro Local 12 Soyapango,San Salvador,Soyapango,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,Libreria Karlita Ahuachapan,4a Calle Poniente numero 1- 14 A Ahuachapan ,Ahuachapan,Ahuachapan,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,"Librería Karlita, Chalchuapa",2a Calle Oriente No 11 Barrio Las Ánimas,Santa Ana,Chalchuapa,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.20,Librería La Nueva Centroamericana,6a Avenida Norte No 119,San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,Librería Latinoamericana,"Centro Comercial Plaza Mundo, Local N° 36, Soyapango",San Salvador,Soyapango,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.22,"Librería Matías Delgado, 2a av sur","2a Avenida Sur, Local N° 202, Barrio El Calvario, San Miguel.",San Miguel,San Miguel,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.09,Librería Medalla Milagrosa,"2a Avenida Sur No 303, Barrio El Calvario, San Miguel",San Miguel,San Miguel,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.08,Librería Moderna Suc. Paseo,"Cond. Balam Quitze, local 15 A-C",San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,"Librería Nuevo Mundo, 1a Calle Oriente",1a Calle Oriente N° 117,San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.15,"Librería Nuevo Mundo, Plaza Soyapango",Boulevard del Ejército Plaza Soyapango II Local #9,San Salvador,Soyapango,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.12,Librería San Judas,"décima calle poniente, Barrio El Calvario",Ahuachapan,Ahuachapan,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.06,Librería Shadai San Salvador,"Cuarta Avenida Norte N° 224, Local 1, San Salvador",San Salvador,San Salvador,5/1/2018
Misceláneos,"Folder, tamaño oficio, unidad",Sin Marca,1,Unidades,$0.10,"Librería Shadai, Número 110",4a Avenida Norte Número 110 San Salvador,San Salvador,San Salvador,5/1/2018
