Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.25,Librería y Papelería Diversa,"4a. Avenida Norte N° 220 Local 2, Edificio Hernández",San Salvador,San Salvador,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,"Librería y Papelería El Abaco, Unicentro","Centro Comercial Unicentro, Soyapango",San Salvador,Soyapango,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,Librería y Papelería Energy 3,Calle Libertad entre 4a y 6a Avenida Sur # 3,Santa Ana,Santa Ana,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,Librería y Papelería Energy II,"Calle Libertad entre 4a y 6a Avenida Sur, # 16",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.00,"Librería y Papelería Getsemani, Barrio El Calvario","8a Calle Oriente, Barrio El Calvario, Ahuachapán",Ahuachapan,Ahuachapan,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.30,"Librería y Papelería Getsemani, Santa Ana","5a Calle Poniente y 8a Avenida Sur, No 24 Barrio San Sebastián, Santa Ana",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,Librería y Papelería Primavera,"Calle Libertad Poniente y 6a Avenida sur No.19
",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.40,"Librería y Papelería Rossy, 6a calle poniente, Barrio San Juan, Ahuachapán","6a. Calle Poniente, Barrio San Juan de Dios N° 3-2",Ahuachapan,Ahuachapan,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.40,"Librería y Papelería Rosy, 10a calle poniente, Ahuachapán",10 Calle Poniente Ahuachapán,Ahuachapan,Ahuachapan,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.80,Librería y Papelería Salvadoreña,Cuarta Avenida Norte Local C N° 225 San Salvador,San Salvador,San Salvador,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.30,Librería y Papelería San Rey Centro,"4a. Avenida Norte, N° 210 Edificio Pompeya, Zona de librerías",San Salvador,San Salvador,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,Libreria y Papeleria Shadai,"4ta. Avenida Norte, No. 110",San Salvador,San Salvador,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,"Librería y Papelería Susana			","3a Avenida Norte N° 22, Chalchuapa",Santa Ana,Chalchuapa,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,Librería y Variedades Ideas Creativas,2a. Calle Poniente y 4a. Avenida Norte,Santa Ana,Santa Ana,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.30,Librería y Variedades Montenegro,"1a Calle Oriente N° 10B  y 2a Avenida Sur, costado sur de ex Cine Centenario",Usulutan,Usulutan,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$2.00,Mega Libros,2a calle poniente # 205,San Miguel,San Miguel,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$0.94,Mercado de San Miguel,,San Miguel,San Miguel,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,"Multiservicios Victoria, librería, copias y más",7a. Calle Oriente entre 1a y 3a Avenida Sur Barrio Santa Cruz,Santa Ana,Santa Ana,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.00,Negocios de Oriente,"11a. Avenida Norte No 308, Barrio San Felipe, San Miguel",San Miguel,San Miguel,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.30,"Papelería San Rey, 7a av norte",7a. Avenida Norte y 3a. Calle Poniente N° 500,San Salvador,San Salvador,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.98,Súper Selectos la Sultana,Urbanizacion y Boulevard La Sultana pasaje La Sultana Antiguo Cuscatlan L.L.,La Libertad,Antiguo Cuscatlan,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.98,Súper Selectos Plaza Mundo,kilometro 4 1/2 boulevard del EJercito Ctro. Plaza Mundo local ancla -A,San Salvador,Soyapango,9/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.45,Variedades Papel y Kosas,"8a Avenida Sur y 3a Calle Poniente, Santa Ana",Santa Ana,Santa Ana,9/1/2018
