Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.92,Súper Selectos Selectos Metrocentro Octava Etapa,"Condominio Metrocentro Octava Etapa, Local Numero 281",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.47,Súper Selectos Usulutan Centro,"1a calle oriente n 42, barrio El Calvario, Usulutan.",Usulutan,Usulutan,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.00,Tienda y Librería Capricornio,"3a Calle Poniente entre 10a. y Avenida José Matías Delgado Sur, Barrio San Luis, # 5",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.75,Variedades Papel y Kosas,"8a Avenida Sur y 3a Calle Poniente, Santa Ana",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.40,Walmart Boulevar del Ejército,kilometro 4 1/2 y cuarta avenida sur,San Salvador,Soyapango,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.25,Walmart Escalon,Colonia Escalon Entre calle Nueva N 1 Y calle Nueva 2 San Salvador.,San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.60,Walmart San Miguel,"Carretera al Delirio Avenda La Pista , Boulevard Campos Eliseo.",San Miguel,San Miguel,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.00,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.00,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.75,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.75,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.50,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.50,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.50,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.50,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.50,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$1.00,Almacen Claudycar,7a. Avenida Sur #325,San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.75,Almacen y Librería SOLO,"Calle Rubén Darío #418, San Salvador",San Salvador,San Salvador,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.65,Creatividad Artística,"1a Calle Oriente y 1a Avenida Sur No 2-1, Ahuachapán",Ahuachapan,Ahuachapan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$1.15,Despensa de Don Juan Antiguo Cuscatlán,"Boulevard walter Deninger y Avenida Las Palmeras, Antiguo Cuscatlan , la libertad",La Libertad,Antiguo Cuscatlan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.90,Despensa de Don Juan San Miguel Centro,5a. Avenida norte y avenida Monsenor Romero No.207,San Miguel,San Miguel,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$1.15,Despensa de Don Juan Usulutan,"Final calle Grimaldi, salida a San Miguel, Usulutan.",Usulutan,Usulutan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.20,Despensa Familiar Usulutan,1a calle oriente y 8tava avenida sur # 46-b usulutan,Usulutan,Usulutan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.70,Distribuidora Papelera DM,"2a. Calle Poniente y 9a. Avenida Norte Nº 601, Barrio San Felipe, San Miguel",San Miguel,San Miguel,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$1.00,Distribuidora Papelera Galvez,"5a Calle Poniente Número 26, entre 6a y  8a Avenida Sur, adelante de Plaza Sevilla, Santa Ana ",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.69,Dollarcity Sucursal San Miguel,4a calle poniente #212,San Miguel,San Miguel,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.69,Dollarcity Usulutan,"calle Grimaldi y 6a avenida norte, barrio La Parroquia",Usulutan,Usulutan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.60,Eunice´s Librería y Papelería ,"Calle Libertad poniente entre 4a y 6a av. Norte N°10
",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.85,Farmacia Brasil # 45,"Km 112 carretera Litoral, salida a San Miguel",Usulutan,Usulutan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.90,Farmacia y Librería San Rey N° 11,"Segunda Calle Poniente y Quinta Avenida Norte, San Miguel ",San Miguel,San Miguel,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.63,Farmacia y Librería San Rey N° 31,1a calle oriente y 10 avenida sur local #54,Usulutan,Usulutan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.90,Farmacia y Librería San Rey N° 7,Carretera Panamericana N° 2 Colonia 14 de julio frente a Metrocentro,San Miguel,San Miguel,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$1.00,Grupo Multicomp,"7a Calle Oriente Callejón Oriente Iglesia El Carmen
",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$1.05,La Dibuteca,"Calle Libertad Poniente y Avenida Independencia, local 212 Barrio El Centro, Plaza Florida, Santa Ana",Santa Ana,Santa Ana,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.65,Libreria  y Papeleria Rossy,6a Calle Poniente Barrio El Calvario numero uno guin seis,Ahuachapan,Ahuachapan,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.60,"Librería ""Sagrado Corazón""","4a. Avenida Norte N° 4-3 
",San Salvador,Soyapango,9/1/2018
Misceláneos,Marcador permanente (colores surtidos),Sin Marca,1,Unidades,$0.63,"Librería Abraham Lincoln				","1a Calle Oriente, No 16, Usulután",Usulutan,Usulutan,9/1/2018
