Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.35,Librería y Variedades Ideas Creativas,2a. Calle Poniente y 4a. Avenida Norte,Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.30,Librería y Variedades Josué,"6a. Avenida Norte Local N° 9 Mercado Municipal N° 1, Usulután",Usulutan,Usulutan,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.30,Librería y Variedades Montenegro,"1a Calle Oriente N° 10B  y 2a Avenida Sur, costado sur de ex Cine Centenario",Usulutan,Usulutan,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.45,Maxi Despensa Soyapango,"Boulevard del Ejercito Nacional Kilometro 4, Soyapango San Salvador",San Salvador,Soyapango,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.50,Mega Libros,2a calle poniente # 205,San Miguel,San Miguel,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.40,Mercado Central de Santa Ana,,Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.35,Mercado Central de Santa Ana,,Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.35,Mercado Colón de Santa Ana,,Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.35,Mercado Colón de Santa Ana,,Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.50,Mercado de San Miguel,,San Miguel,San Miguel,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.50,Mercado de San Miguel,,San Miguel,San Miguel,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.50,Mercado de San Miguel,,San Miguel,San Miguel,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.28,Mercado de San Miguel,,San Miguel,San Miguel,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.50,"MetroLibro, Metrogalerías","Centro Comercial Metrogalerías, local N° 2, Calle Sisimiles, San Salvador",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.40,"Multiservicios Victoria, librería, copias y más",7a. Calle Oriente entre 1a y 3a Avenida Sur Barrio Santa Cruz,Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.35,"Papelera y Librería Latino América, Metrocentro 7a etapa","Centro Comercial Metrocentro 7a Etapa, Local 221-P, San Salvador",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.50,"Papelería San Rey, 7a av norte",7a. Avenida Norte y 3a. Calle Poniente N° 500,San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.43,Súper Selectos la Sultana,Urbanizacion y Boulevard La Sultana pasaje La Sultana Antiguo Cuscatlan L.L.,La Libertad,Antiguo Cuscatlan,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.43,Súper Selectos Plaza Mundo,kilometro 4 1/2 boulevard del EJercito Ctro. Plaza Mundo local ancla -A,San Salvador,Soyapango,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.43,Súper Selectos Selectos Metrocentro Octava Etapa,"Condominio Metrocentro Octava Etapa, Local Numero 281",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.35,Tienda y Librería Capricornio,"3a Calle Poniente entre 10a. y Avenida José Matías Delgado Sur, Barrio San Luis, # 5",Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.50,Variedades Papel y Kosas,"8a Avenida Sur y 3a Calle Poniente, Santa Ana",Santa Ana,Santa Ana,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.45,Walmart Boulevar del Ejército,kilometro 4 1/2 y cuarta avenida sur,San Salvador,Soyapango,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.45,Walmart Escalon,Colonia Escalon Entre calle Nueva N 1 Y calle Nueva 2 San Salvador.,San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.45,Walmart San Miguel,"Carretera al Delirio Avenda La Pista , Boulevard Campos Eliseo.",San Miguel,San Miguel,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,"Plástico Transparente para forrar, Yarda",Sin Marca,1,Unidades,$0.25,"Zona Centro, calle Ruben Dario, Hula Hula","Zona Centro, calle Ruben Dario, Hula Hula",San Salvador,San Salvador,9/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.25,Almacen Claudycar,7a. Avenida Sur #325,San Salvador,San Salvador,9/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.20,Almacen y Librería SOLO,"Calle Rubén Darío #418, San Salvador",San Salvador,San Salvador,9/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$0.75,Creatividad Artística,"1a Calle Oriente y 1a Avenida Sur No 2-1, Ahuachapán",Ahuachapan,Ahuachapan,9/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.25,Despensa de Don Juan San Miguel Centro,5a. Avenida norte y avenida Monsenor Romero No.207,San Miguel,San Miguel,9/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.25,Despensa de Don Juan Usulutan,"Final calle Grimaldi, salida a San Miguel, Usulutan.",Usulutan,Usulutan,9/1/2018
