Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.75,Curiosidades y Libreria El Regalo,Barrio el recreo frente a Banco Agricola,La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.70,Despensa de Don Juan Catedral Sonsonate,"avenida morazán y primera calle poniente número dos guion uno, barrio el centro,sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.80,Despensa de Don Juan El Palmar,"avenida fray felipe de jesús moraga sur, entre treinta y uno y treinta y tres calle poniente,santa ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.70,Despensa Familiar   Santa Ana Catedral,"1a Avenida Norte y Calle Libertad Oriente, Barrio San Lorenzo, Santa Ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.70,Despensa Familiar Chalchuapa,CALLE SANTA ANA NUMERO CINCO CHALCHUAPA SANTA ANA,Santa Ana,Chalchuapa,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.70,Despensa Familiar Pericentro Apopa,"Carretera Troncal del Nte. Km. 11-1/2, carretera a Quezaltepeque, #7, Apopa.",San Salvador,Apopa,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.70,Despensa Familiar Quezaltepeque Centro,"2a. Calle Poniente Norte , Quezaltepeque La Libertad.",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.70,Despensa Familiar San Miguel Catedral,"4ta Avenida Norte y Calle Sirama, Barrio El Centro.",San Miguel,San Miguel,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.85,"Destiny Blessing, Avenida Jose Matías Delgado","Avenida Jose Matias Delgado, entra 9a. Y 11a. Calle Poniente, Numero 38-B",Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.60,"Distribuidora Papelera Galvez, 4a Avenida Norte",4a Avenida Norte entre Calle Libertad Poniente y 2a Calle Poniente # 1,Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.50,Farmacia San Rafael y Librería Marcela,Col. Santa Teresa y Av. Bernal No. 76 San Salvador ,San Salvador,San Salvador,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.45,Farmacia San Rafael y Librería Marcela,"Centro Comercial Zacamil #2, Local #23, San Salvador ",San Salvador,San Salvador,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.65,Farmacia San Rafael y Libreria Marcela sucursal K # 11,"Centro Comercial Santa Elena Local #110 Urbanizacion Santa Elena, Antiguo Cuscatlan, La Libertad.",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.60,Farmacia San Rafael y Libreria Marcela Sucursal S # 19,"9a. Calle Oriente, Block 7 - 8 Casa # 11, Col. Santa Monica, Santa Tecla",La Libertad,Santa Tecla,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.50,Farmacia San Rafael y Librería Marcela Sucusal N° 14,"Calle Cortez Blanco Poniente No 1 Centro Comercial Madre Selva, Antiguo Cuscatlán",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.50,"Farmacia y Librería Brasil Nº 10				","2a Calle Poniente No 304, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.50,Farmacia y Librería Brasil Nº 16,"Centro Comercial Metrocentro San Miguel, local 162",San Miguel,San Miguel,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$1.03,"Farmacia y Librería San Rey N° 12				","1a Calle Poniente y Av. Fernando Benítez, Santa Rosa de Lima",La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.90,"Farmacia y Librería San Rey N° 23				","4a. Calle Poniente, local No 207, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.81,Farmacia y Librería San Rey N° 25,"Avenida Morazán No 24 B, Barrio el Calvario, San Francisco Gotera, Morazán",Morazan,San Francisco Gotera,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.80,"Foto Studio y Librería Nelson				","1a Calle Oriente No 2-2, Barrio El Centro, La Unión",La Union,La Union,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.70,"Grupo Dinasty, 1a avenida sur","Primera Avenida Sur Local N° 7 frente al Cametro, Apopa",San Salvador,Apopa,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.75,Innovaciones Yésica,"Segunda avenida sur, casa numero 5-12",Ahuachapan,Ahuachapan,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.65,La Nueva Librería,"Calle Urrutia N°4, Barrio el Centro, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.80,Librería América,"8a Avenida Sur y 9a Calle Poniente N° 56, Santa Ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.75,"Librería Carolina, Calle Leonardo Azcunaga","Calle Leonardo Azcunaga, Local N°5, Apopa",San Salvador,Apopa,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.80,"Librería Cervantes, Orden de Malta","Boulevard Orden de Malta Sur Plaza Monte Cristo, Local 12",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$1.25,Libreria Dolarcito,"Calle Obispo Marroquin y sexta calle, Barrio El Angel",Sonsonate,Sonsonate,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$1.00,"Librería Eben Ezer, Barrio La Esperanza","1a. Avenida Sur, Barrio La Esperanza",La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$1.00,Librería Económica,"Centro Comercial Pericentro Apopa, local #30 B Apopa, San Salvador",San Salvador,Apopa,10/1/2018
Misceláneos,"Caja de plastilina, 10 barritas (colores surtidos)",Sin Marca,1,Unidades,$0.60,Librería El Angel San Francisco Gotera,"1a Avenida Norte y Calle Joaquín Rodezno Barrio El Centro, San Francisco Gotera",Morazan,San Francisco Gotera,10/1/2018
