Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Librería Tecleña,2a Calle Poniente y 4a Avenida Sur Santa Tecla,La Libertad,Santa Tecla,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$1.50,"Librería Terrazas, Centro Comercial Las Terrazas","Centro Comercial Las Terrazas, Local N° 10",San Salvador,San Salvador,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$1.40,Librería y Papelería El Estudiante,"Avenida Morazán, frente a Despensa de Don Juan, local N° 2-6. Sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Librería y Papelería El Portal,"Centro Comercial Argoz N° 2, 2a. Calle Oriente, frente a Parque San Martin, Santa Tecla",La Libertad,Santa Tecla,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$2.00,Librería y Papelería Getsemani,"3a. Avenida Norte, Local B Barrio El centro, Sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.50,Librería y Papelería La Clásica,1a Avenida Norte y 6a Calle Poniente N° 3 Plaza Floresta San Miguel,San Miguel,San Miguel,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.50,"Librería y Papelería La Princesa				","1a. Calle Poniente Nº 3-2, Barrio San Carlos La Unión	
",La Union,La Union,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Librería y Papelería Milenium,6a Calle Poniente No.3-14,Ahuachapan,Ahuachapan,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$2.38,Librería y Papelería Pinel,Av. Morazán Bo. El Calvario No. 4,Morazan,San Francisco Gotera,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,"Librería y Papelería Universal, Antiguo Cuscatlán","Calle Cuscatlán Oriente N° 8, Antiguo Cuscatlaán. ",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$2.75,"Librería y Papelería Universal, Santa Tecla","Segunda Calle Poniente N° 1-4, Santa Tecla",La Libertad,Santa Tecla,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Librería y Piñatería Micky Mouse,"Avenida 3 de Mayo y Calle Urrutia L-1, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$2.00,"Librería y Variedades Bethel		","Avenida Morazán, Barrio El Calvario. N° 20, San Francisco Gotera ",Morazan,San Francisco Gotera,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$4.00,Librería y Variedades Javier,"Av. Jose Matías Delgado Sur entre 1a y 3a calle poniente #9-A, Santa Ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.50,Librería y Variedades Josselin Sarai,"3a Calle Poniente, Barrio El Centro, frente a Gobernación, La Unión",La Union,La Union,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Libreria y Variedades La Bendición,"17 Calle Poniente 15 C Quezaltepeque, Ciudad de Quezaltepeque. 1a calle Pte y Av. 3 de Mayo",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$1.00,Librería y Variedades La Guadalupana,"Av. Quirino Chavez, N°1-B, Apopa, S.S",San Salvador,Apopa,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Librería y Variedades La Heroica,"10a. Avenida sur entre 17 y 19 calle Poniente Barrio San Sebastián una cuadra antes de terminal de buses
",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$1.50,Librería y Variedades Regalito de Dios,"3a. Calle Poniente N° 8, Bo. El Calvario",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.56,"Los Angeles Papelería y Librería			","2a Calle Poniente No 208, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Maxi Despensa Santa Ana,"avenida independencia sur y calle by pass o boulevard nicolas salume, santa ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$1.75,No incluir,4a Calle Oriente Barrio Las Animas N. 30,Santa Ana,Chalchuapa,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,"Office Express Delivery, 6a. Avenida sur",6a. Avenida sur y 11 Calle poniente N.2113,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$2.60,Papelera San Rey Sucursal Plaza Merliot,Centro Comercial Plaza Merliot Tercer Nivel,La Libertad,Santa Tecla,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.44,"Papelera y Librerías Latino América, Unicentro","Centro Comercial Unicentro Metrópolis, local 7, Mejicanos, San Salvador",San Salvador,Mejicanos,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Papelería y Útiles de Oficina María Auxiliadora,"4a Avenida Sur entre 13 y 15 Calle Poniente, # 2",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.20,Selectos La Unión ,"4a Avenida Sur N* 1 - 1, Barrio Honduras, Calle San Carlos, La Unión",La Union,La Union,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.20,Selectos Market Quezaltepeque,"C. Urrutia y Av. Delgado,#2, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.00,Súper Selectos Los Leones,"paseo quince de septiembre y avenida oidor ramirez de quiñonez,sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.20,Súper Selectos San Miguel Centro,"Octava calle poniente , entre tercera y quinta avenida norte # 304, Barrio San Francisco, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 100),Sin Marca,1,Unidades,$3.20,Super Selectos San Sebastian Salitrillo,Canton Los Amates San Sebastian silitrillo Santa ana,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.75,Curiosidades y Libreria El Regalo,Barrio el recreo frente a Banco Agricola,La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.80,Despensa Familiar San Miguel Catedral,"4ta Avenida Norte y Calle Sirama, Barrio El Centro.",San Miguel,San Miguel,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,"Destiny Blessing, Avenida Jose Matías Delgado","Avenida Jose Matias Delgado, entra 9a. Y 11a. Calle Poniente, Numero 38-B",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$1.50,"Distribuidora Papelera Galvez, 4a Avenida Norte",4a Avenida Norte entre Calle Libertad Poniente y 2a Calle Poniente # 1,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$2.50,Farmacia San Rafael y Librería Marcela,Col. Santa Teresa y Av. Bernal No. 76 San Salvador ,San Salvador,San Salvador,10/1/2018
Misceláneos,Hojas de papel de color tamaño carta (paquete de 50),Sin Marca,1,Unidades,$2.50,Farmacia San Rafael y Libreria Marcela sucursal K # 11,"Centro Comercial Santa Elena Local #110 Urbanizacion Santa Elena, Antiguo Cuscatlan, La Libertad.",La Libertad,Antiguo Cuscatlan,10/1/2018
