Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.15,Despensa Familiar Pericentro Apopa,"Carretera Troncal del Nte. Km. 11-1/2, carretera a Quezaltepeque, #7, Apopa.",San Salvador,Apopa,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.34,Despensa Familiar Quezaltepeque Centro,"2a. Calle Poniente Norte , Quezaltepeque La Libertad.",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.30,Despensa Familiar San Miguel Catedral,"4ta Avenida Norte y Calle Sirama, Barrio El Centro.",San Miguel,San Miguel,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.85,"Destiny Blessing, Avenida Jose Matías Delgado","Avenida Jose Matias Delgado, entra 9a. Y 11a. Calle Poniente, Numero 38-B",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.25,"Distribuidora Papelera Galvez, 4a Avenida Norte",4a Avenida Norte entre Calle Libertad Poniente y 2a Calle Poniente # 1,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.15,Farmacia San Rafael y Librería Marcela,Col. Santa Teresa y Av. Bernal No. 76 San Salvador ,San Salvador,San Salvador,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$0.90,Farmacia San Rafael y Librería Marcela,"Centro Comercial Zacamil #2, Local #23, San Salvador ",San Salvador,San Salvador,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.10,Farmacia San Rafael y Libreria Marcela sucursal K # 11,"Centro Comercial Santa Elena Local #110 Urbanizacion Santa Elena, Antiguo Cuscatlan, La Libertad.",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.00,Farmacia San Rafael y Libreria Marcela Sucursal S # 19,"9a. Calle Oriente, Block 7 - 8 Casa # 11, Col. Santa Monica, Santa Tecla",La Libertad,Santa Tecla,10/1/2018
Misceláneos,Marcador de pizarra (colores surtidos),Sin Marca,1,Unidades,$1.00,Farmacia San Rafael y Librería Marcela Sucusal N° 14,"Calle Cortez Blanco Poniente No 1 Centro Comercial Madre Selva, Antiguo Cuscatlán",La Libertad,Antiguo Cuscatlan,10/1/2018
