Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.25,Librería y Variedades Javier,"Av. Jose Matías Delgado Sur entre 1a y 3a calle poniente #9-A, Santa Ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.35,Libreria y Variedades La Bendición,"17 Calle Poniente 15 C Quezaltepeque, Ciudad de Quezaltepeque. 1a calle Pte y Av. 3 de Mayo",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.25,Librería y Variedades La Guadalupana,"Av. Quirino Chavez, N°1-B, Apopa, S.S",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.00,Librería y Variedades La Heroica,"10a. Avenida sur entre 17 y 19 calle Poniente Barrio San Sebastián una cuadra antes de terminal de buses
",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.00,Libreria y Variedades Monte los Olivos,"av. Quirino Chavez casa n. 16, Apopa, San Salvador",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.50,"Librería y Variedades Nineth				","Antigua Ruta Militar, Barrio La Esperanza, Santa Rosa de Lima",La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.35,Librería y Variedades Regalito de Dios,"3a. Calle Poniente N° 8, Bo. El Calvario",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.25,Maxi Despensa Sonsonate,"Quinta Sofía, calle hacia Acajutla, contiguo a Metrocentro Sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.00,No incluir,4a Calle Oriente Barrio Las Animas N. 30,Santa Ana,Chalchuapa,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.20,"Office Express Delivery, 6a. Avenida sur",6a. Avenida sur y 11 Calle poniente N.2113,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.30,Papelera San Rey Sucursal Plaza Merliot,Centro Comercial Plaza Merliot Tercer Nivel,La Libertad,Santa Tecla,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.40,"Papelera y Librerías Latino América, Unicentro","Centro Comercial Unicentro Metrópolis, local 7, Mejicanos, San Salvador",San Salvador,Mejicanos,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.35,Papelería y Útiles de Oficina María Auxiliadora,"4a Avenida Sur entre 13 y 15 Calle Poniente, # 2",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.25,Plásticos y Librería Linda Carolina,"Avenida Quirino Chavez numero once c, Apopa, San Salvador.",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.22,Selectos Apopa ,"Carretera Troncal del Norte, C.C. Pericentro Apopa, Apopa",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.22,Selectos La Unión ,"4a Avenida Sur N* 1 - 1, Barrio Honduras, Calle San Carlos, La Unión",La Union,La Union,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.22,Selectos Market Quezaltepeque,"C. Urrutia y Av. Delgado,#2, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.22,Selectos Market San francisco Gotera ,"entre 1 Calle Oriente y Avenida Thompson Norte, Barrio el Calvario, San Francisco Gotera",Morazan,San Francisco Gotera,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.04,Súper Selectos Los Leones,"paseo quince de septiembre y avenida oidor ramirez de quiñonez,sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.04,Súper Selectos Market Chalchuapa,"callejón santa ana no.1 bis ,chalchuapa",Santa Ana,Chalchuapa,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.22,Súper Selectos Metrocentro Santa Ana,"final avenida independencia sur entre treinta y tres y treinta y cinco calle poniente, metrocentro local ciento veintitres,santa ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.43,Súper Selectos Metrocentro Sonsonate,"centro comercial metrocentro,local ancla numero cuatro, sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.04,Súper Selectos San Miguel Centro,"Octava calle poniente , entre tercera y quinta avenida norte # 304, Barrio San Francisco, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.04,Super Selectos San Sebastian Salitrillo,Canton Los Amates San Sebastian silitrillo Santa ana,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.04,Súper Selectos Santa Rosa de Lima,Avenida fernando benitez 1a calle poniente ,La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.22,Súper Selectos Santa Tecla,segunda calle oriente y tercera avenida norte #2-9. Santa tecla. La libertad,La Libertad,Santa Tecla,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.50,Utilesa Nº 1,"2a Calle Poniente No 205 2a y 3a Planta, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,Pliego de fomy (colores surtidos),Sin Marca,1,Unidades,$1.50,Utilesa Nº 2,"2a Calle Poniente No 206, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.25,Al Paso Librería ,"10a Avenida Sur N° 42 entre 11 Calle Poniente y Calle José Mariano Méndez, Santa Ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.35,Color Line Librería,6a Avenida Norte local 17 N° 1-5 Sonsonate,Sonsonate,Sonsonate,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.40,"Destiny Blessing, Avenida Jose Matías Delgado","Avenida Jose Matias Delgado, entra 9a. Y 11a. Calle Poniente, Numero 38-B",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.40,"Distribuidora Papelera Galvez, 4a Avenida Norte",4a Avenida Norte entre Calle Libertad Poniente y 2a Calle Poniente # 1,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.30,Farmacia San Rafael y Librería Marcela,Col. Santa Teresa y Av. Bernal No. 76 San Salvador ,San Salvador,San Salvador,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.27,Farmacia San Rafael y Librería Marcela,"Centro Comercial Zacamil #2, Local #23, San Salvador ",San Salvador,San Salvador,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.35,Farmacia San Rafael y Libreria Marcela sucursal K # 11,"Centro Comercial Santa Elena Local #110 Urbanizacion Santa Elena, Antiguo Cuscatlan, La Libertad.",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.30,Farmacia San Rafael y Libreria Marcela Sucursal S # 19,"9a. Calle Oriente, Block 7 - 8 Casa # 11, Col. Santa Monica, Santa Tecla",La Libertad,Santa Tecla,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.30,"Farmacia y Librería Brasil Nº 10				","2a Calle Poniente No 304, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.30,"Grupo Dinasty, 1a avenida sur","Primera Avenida Sur Local N° 7 frente al Cametro, Apopa",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.20,La Nueva Librería,"Calle Urrutia N°4, Barrio el Centro, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.40,Librería América,"8a Avenida Sur y 9a Calle Poniente N° 56, Santa Ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.35,"Librería Carolina, Calle Leonardo Azcunaga","Calle Leonardo Azcunaga, Local N°5, Apopa",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.40,"Librería Cervantes, Orden de Malta","Boulevard Orden de Malta Sur Plaza Monte Cristo, Local 12",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.60,"Librería Eben Ezer, Barrio La Esperanza","1a. Avenida Sur, Barrio La Esperanza",La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.40,Librería Económica,"Centro Comercial Pericentro Apopa, local #30 B Apopa, San Salvador",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.25,Librería El Angel San Francisco Gotera,"1a Avenida Norte y Calle Joaquín Rodezno Barrio El Centro, San Francisco Gotera",Morazan,San Francisco Gotera,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.35,Librería El Estudiante,2a Calle Poniente 2-1 Santa Tecla,La Libertad,Santa Tecla,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.30,Librería El Transito,"Segunda Calle Poniente No 9, Apopa, San Salvador",San Salvador,Apopa,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.35,Librería Faber,Calle Obispo Marroquín y 6a avenida sur,Sonsonate,Sonsonate,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.35,"Librería Gamaliel, 1a Calle Oriente",1a Calle Oriente entre Avenida Independencia y 1a Avenida Sur N° 7 Santa Ana,Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.35,"Librería Géminis, Mejicanos","Av. Castro Morán N° 42-A, Mejicanos",San Salvador,Mejicanos,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.23,Librería Hugget,"3a Avenida Norte No 103, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.30,Librería Ibérica #29,"29 Calle Oriente N° 410, Colonia La Rábida",San Salvador,San Salvador,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.50,Librería Jacky,"1a.Calle Poniente N° 15, Mejicanos, San Salvador",San Salvador,Mejicanos,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.40,"Librería Karlita, Santa Ana","10a Avenida Sur entre 27 y 29 Calle Poniente, Santa Ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,Pliego de papel bond de color (65x90 cm),Sin Marca,1,Unidades,$0.40,"Libreria Karlita, Santa Ana 2a av sur","2a. Av. Sur entre 23 y 25 Calle Poniente, Santa Ana.",Santa Ana,Santa Ana,10/1/2018
