Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$1.00,Office Depot Las Cascadas,"Centro Comercial Hiper Mall Las Cascadas Local No 149, Carretera Panamericana. Calle Chiltiupán Avenida Jerusalén ",La Libertad,Antiguo Cuscatlan,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.43,"Office Express Delivery, 6a. Avenida sur",6a. Avenida sur y 11 Calle poniente N.2113,Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.45,Papelera San Rey Sucursal Plaza Merliot,Centro Comercial Plaza Merliot Tercer Nivel,La Libertad,Santa Tecla,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$1.04,"Papelera y Librerías Latino América, Unicentro","Centro Comercial Unicentro Metrópolis, local 7, Mejicanos, San Salvador",San Salvador,Mejicanos,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.75,Plásticos y Librería Linda Carolina,"Avenida Quirino Chavez numero once c, Apopa, San Salvador.",San Salvador,Apopa,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.49,Selectos Apopa ,"Carretera Troncal del Norte, C.C. Pericentro Apopa, Apopa",San Salvador,Apopa,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.49,Selectos La Unión ,"4a Avenida Sur N* 1 - 1, Barrio Honduras, Calle San Carlos, La Unión",La Union,La Union,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.38,Selectos Market Quezaltepeque,"C. Urrutia y Av. Delgado,#2, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.54,Selectos Market San francisco Gotera ,"entre 1 Calle Oriente y Avenida Thompson Norte, Barrio el Calvario, San Francisco Gotera",Morazan,San Francisco Gotera,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.64,Súper Selectos Los Leones,"paseo quince de septiembre y avenida oidor ramirez de quiñonez,sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.38,Súper Selectos Market Chalchuapa,"callejón santa ana no.1 bis ,chalchuapa",Santa Ana,Chalchuapa,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.38,Súper Selectos Metrocentro Santa Ana,"final avenida independencia sur entre treinta y tres y treinta y cinco calle poniente, metrocentro local ciento veintitres,santa ana",Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.45,Súper Selectos Metrocentro Sonsonate,"centro comercial metrocentro,local ancla numero cuatro, sonsonate",Sonsonate,Sonsonate,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.49,Súper Selectos San Miguel Centro,"Octava calle poniente , entre tercera y quinta avenida norte # 304, Barrio San Francisco, San Miguel",San Miguel,San Miguel,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.29,Super Selectos San Sebastian Salitrillo,Canton Los Amates San Sebastian silitrillo Santa ana,Santa Ana,Santa Ana,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.64,Súper Selectos Santa Rosa de Lima,Avenida fernando benitez 1a calle poniente ,La Union,Santa Rosa de Lima,10/1/2018
Misceláneos,"Tirro Rollo (medida de 3/4), unidad",Sin Marca,1,Unidades,$0.40,Súper Selectos Santa Tecla,segunda calle oriente y tercera avenida norte #2-9. Santa tecla. La libertad,La Libertad,Santa Tecla,10/1/2018
